Security Id,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
20MICRONS,Commodities,Metals & Mining,Minerals & Mining,Industrial Minerals
360ONE,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied
3MINDIA,Diversified,Diversified,Diversified,Diversified
AADHARHFC,Financial Services,Financial Services,Finance,Housing Finance Company
5PAISA,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied
63MOONS,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
AARTIIND,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
AARTIDRUGS,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
AARTIPHARM,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
AFSL,Financial Services,Financial Services,Finance,Holding Company
AAVAS,Financial Services,Financial Services,Finance,Housing Finance Company
ACC,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products
ACCELYA,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
ACMESOLAR,Utilities,Power,Power,Power Generation
ADANIENSOL,Utilities,Power,Power,Power Distribution
ACE,Industrials,Capital Goods,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles
ADANIENT,Commodities,Metals & Mining,Metals & Minerals Trading,Trading - Minerals
ADANIPORTS,Services,Services,Transport Infrastructure,Port & Port services
ADANIGREEN,Utilities,Power,Power,Power Generation
ADANIPOWER,Utilities,Power,Power,Integrated Power Utilities
ADFFOODS,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods
ATGL,Energy,"Oil, Gas & Consumable Fuels",Gas,LPG/CNG/PNG/LNG Supplier
BIRLAMONEY,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied
ABCAPITAL,Financial Services,Financial Services,Finance,Investment Company
ABREL,Commodities,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products
ADOR,Industrials,Capital Goods,Industrial Products,Other Industrial Products
ADVENZYMES,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Biotechnology
AEGISLOG,Energy,"Oil, Gas & Consumable Fuels",Gas,Trading - Gas
AEROFLEX,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
AETHER,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
AFCONS,Industrials,Construction,Construction,Civil Construction
AFFLE,Information Technology,Information Technology,IT - Services,IT Enabled Services
AFFORDABLE,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
AGARIND,Commodities,Chemicals,Chemicals & Petrochemicals,Petrochemicals
AVL,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail
AGI,Industrials,Capital Goods,Industrial Products,Packaging
ABSLAMC,Financial Services,Financial Services,Capital Markets,Asset Management Company
AIAENG,Industrials,Capital Goods,Industrial Products,Castings & Forgings
AJANTPHARM,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
AJAXENGG,Industrials,Capital Goods,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles
AJMERA,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
AKSHARCHEM,Commodities,Chemicals,Chemicals & Petrochemicals,Dyes And Pigments
AKUMS,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
AKZOINDIA,Consumer Discretionary,Consumer Durables,Consumer Durables,Paints
AGIIL,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
ALBERTDAVD,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
ALEMBICLTD,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
APLLTD,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
ALICON,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
ALKEM,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
AHLUCONT,Industrials,Construction,Construction,Civil Construction
ALLDIGI,Services,Services,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
ABDL,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries
ADSL,Information Technology,Information Technology,IT - Services,IT Enabled Services
ALPHAGEO,Energy,"Oil, Gas & Consumable Fuels",Oil,Offshore Support Solution Drilling
ARE&M,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
